Name,Type_of_Utility,Number_of_Ratings,Rating,Longitude,Latitude,nearest_station,اسم المحطة,geometry,neighborhood,English_name,Final Station,Path
,restaurant,44.0,3.7,46.6582667,24.7436795,King Fahd District,حي الملك فهد,POINT (46.6582667 24.7436795),حي النخيل,Mongo,حي الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة حي الملك فهد.
مطعمازهارالياسمين,restaurant,28.0,2.0,46.7082426,24.8132902,SABIC,سابك,POINT (46.7082426 24.8132902),جامعة الامام محمد بن سعود الاسلامية,,سابك,اركب المترو من المحطة الحالية، وأخرج عند محطة سابك.
,restaurant,5.0,4.8,46.717599,24.6457123,National Museum,المتحف الوطني,POINT (46.717599 24.6457123),حي العمل,Kruathai Seafoods Restaurant Al Batha Telemoney Bldg,المتحف الوطني,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المتحف الوطني.
فطور بسمه,restaurant,295.0,3.8,46.6942248,24.6806835,Ministry of Interior,وزارة الداخلية,POINT (46.6942248 24.6806835),حي المؤتمرات,,وزارة الداخلية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة وزارة الداخلية.
,restaurant,2859.0,4.2,46.6992818,24.7066053,As Sulimaniyah,السليمانية,POINT (46.6992818 24.7066053),مدينة الملك عبدالله للطاقة,Hawa Amman Restaurant,السليمانية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة السليمانية.
دايت سنتر,grocery_or_supermarket,88.0,4.1,46.784153,24.681048,Al Rajhi Grand Mosque,جامع الراجحي,POINT (46.784153 24.681048),حي الروابي,Diet Center,جامع الراجحي,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة جامع الراجحي.
,store,1026.0,3.6,46.6251085,24.811023,Dr. Sulaiman Al Habib,د.سليمان الحبيب,POINT (46.6251085 24.811023),حي الصحافة,Fit House,د.سليمان الحبيب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة د.سليمان الحبيب.
مطعم سويت ان,restaurant,66.0,3.9,46.7111778,24.6939277,Officers Club,نادي الضباط,POINT (46.7111778 24.6939277),حي الملك عبدالعزيز,,نادي الضباط,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة نادي الضباط.
,restaurant,163.0,3.7,46.6570613,24.7443498,King Fahd District,حي الملك فهد,POINT (46.6570613 24.7443498),حي النخيل,Kudu Riyadh Gallery Mall,حي الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة حي الملك فهد.
دنيا البخاري,restaurant,2.0,5.0,46.635201,24.8147951,Dr. Sulaiman Al Habib,د.سليمان الحبيب,POINT (46.635201 24.8147951),حي الصحافة,,د.سليمان الحبيب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة د.سليمان الحبيب.
بوفيه مربى وجبن,restaurant,2.0,3.0,46.6755835,24.7362505,Al Wurud,الورود,POINT (46.6755835 24.7362505),حي الورود,Jam and cheese buffet,الورود,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، وأخرج عند محطة الورود.
بوفية حسن الفاتك,restaurant,12.0,4.5,46.6861041,24.7055614,Alinma Bank,مصرف الانماء,POINT (46.6861041 24.7055614),مدينة الملك عبدالله للطاقة,,,
,restaurant,349.0,4.1,46.670598,24.7411114,King Fahd District 2,حي الملك فهد 2,POINT (46.670598 24.7411114),حي الورود,Pizza Kfak,حي الملك فهد 2,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة حي الملك فهد 2.
,bakery,326.0,4.3,46.7369989,24.638478,As Salhiyah,الصالحية,POINT (46.7369989 24.638478),حي الصناعية,Pies and Pizzas,الصالحية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة الصالحية.
بارتي بوكس,restaurant,284.0,4.4,46.7945945,24.759127,Al Andalus,الأندلس,POINT (46.7945945 24.759127),حي النهضة,Party Box,الأندلس,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الأندلس.
,restaurant,172.0,4.1,46.8444934,24.7186402,Hassan Bin Thabit street,شارع حسان بن ثابت,POINT (46.8444934 24.7186402),حي النسيم الغربي,Pizza Today,شارع حسان بن ثابت,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة شارع حسان بن ثابت.
,restaurant,626.0,4.1,46.7778689,24.6811926,Al Rajhi Grand Mosque,جامع الراجحي,POINT (46.7778689 24.6811926),حي الروابي,Oregano Pizzeria,جامع الراجحي,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة جامع الراجحي.
,restaurant,10841.0,4.1,46.7021494,24.7037615,Ad Dhabab,الضباب,POINT (46.7021494 24.7037615),حي الملك عبدالعزيز,Karam Beirut Restaurant Riyadh Tahlia Street,الضباب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة الضباب.
مطعم الخروف الطازج,restaurant,5.0,4.8,46.7690011,24.7873689,Al Yarmuk,اليرموك,POINT (46.7690011 24.7873689),حي اشبيلية,,اليرموك,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة اليرموك.
,restaurant,3444.0,4.4,46.6909105,24.7098039,As Sulimaniyah,السليمانية,POINT (46.6909105 24.7098039),مدينة الملك عبدالله للطاقة,Filfila hut,السليمانية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة السليمانية.
نفر كباب,restaurant,91.0,3.9,46.7747474,24.7940971,Al Yarmuk,اليرموك,POINT (46.7747474 24.7940971),حي اشبيلية,,اليرموك,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة اليرموك.
الشيف صهيب,restaurant,26.0,4.5,46.77061,24.7788531,Al Hamra,الحمراء,POINT (46.77061 24.7788531),حي الحمراء,,الحمراء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الحمراء.
,restaurant,31.0,3.8,46.7494363,24.5977693,Transportation Center,مركز النقل العام,POINT (46.7494363 24.5977693),حي المنصورة,RAIHAN RESTAURANT,مركز النقل العام,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مركز النقل العام.
,restaurant,1258.0,3.8,46.7010117,24.6622244,Al Muorabba,المربع,POINT (46.7010117 24.6622244),حي النموذجية,Herfy,المربع,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المربع.
,cafe,1217.0,4.1,46.755407,24.771893,Khalid Bin Alwaleed Road,طريق خالد بن الوليد,POINT (46.755407 24.771893),حي الحمراء,The Coffee Address,طريق خالد بن الوليد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة طريق خالد بن الوليد.
,restaurant,3.0,5.0,46.7669721,24.5906473,Al Aziziah,العزيزية,POINT (46.7669721 24.5906473),حي العزيزية,7otElMajal Restaurant,العزيزية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العزيزية.
,restaurant,3.0,4.0,46.713111,24.707639,Abu Dhabi square,ميدان أبو ظبي,POINT (46.713111 24.707639),حي الملك عبدالعزيز,Kudu Sulimaniyah,ميدان أبو ظبي,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة ميدان أبو ظبي.
,restaurant,9.0,5.0,46.8090212,24.7987081,Ishbiliyah,اشبيليا,POINT (46.8090212 24.7987081),حي اليرموك,Bufiya faroj AlRaya,اشبيليا,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة اشبيليا.
,restaurant,785.0,4.2,46.7777026,24.6825416,Al Rajhi Grand Mosque,جامع الراجحي,POINT (46.7777026 24.6825416),حي الروابي,Shawarma Hlayel,جامع الراجحي,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة جامع الراجحي.
,restaurant,401.0,4.1,46.6822636,24.7006847,Alinma Bank,مصرف الانماء,POINT (46.6822636 24.7006847),حي العليا,Sama Lounge Terrace,,
بيتزا هات لي,restaurant,215.0,3.9,46.7742487,24.564646,Ad Dar Al Baida,الدار البيضاء,POINT (46.7742487 24.564646),حي الدار البيضاء,,الدار البيضاء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة الدار البيضاء.
,restaurant,4.0,4.0,46.7290297,24.6403217,As Salhiyah,الصالحية,POINT (46.7290297 24.6403217),حي ثليم,Al bukhari resturent,الصالحية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة الصالحية.
,meal_delivery,1111.0,4.0,46.7098899,24.7466363,An Nuzhah,النزهة,POINT (46.7098899 24.7466363),حي صلاح الدين,Maestro Pizza,النزهة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة النزهة.
,restaurant,66.0,4.2,46.6850308,24.6199033,Sultanah,سلطانه,POINT (46.6850308 24.6199033),حي الجرادية,Shumaisy,,
بطاطس وشاي فخار,restaurant,295.0,4.6,46.6669728,24.7894938,Ar Rabi,الربيع,POINT (46.6669728 24.7894938),حي النفل,,الربيع,اركب المترو من المحطة الحالية، وأخرج عند محطة الربيع.
فطائر وكبدة حواري,restaurant,36.0,4.7,46.6758565,24.7245247,Al Wurud 2,الورود 2,POINT (46.6758565 24.7245247),حي الورود,,الورود 2,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة الورود 2.
,restaurant,1.0,1.0,46.6961337,24.8013157,Uthman Bin Affan Rd.,طريق عثمان بن عفان,POINT (46.6961337 24.8013157),جامعة الامام محمد بن سعود الاسلامية,DAR ALFATEERA,طريق عثمان بن عفان,اركب المترو من المحطة الحالية، وأخرج عند محطة عثمان بن عفان.
مقلوبة نثر,restaurant,190.0,4.1,46.7989447,24.6843534,Harun Ar Rashid Road,طريق هارون الرشيد,POINT (46.7989447 24.6843534),حي الروابي,,طريق هارون الرشيد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة طريق هارون الرشيد.
كووپا,restaurant,517.0,3.8,46.6769542,24.6938708,Bank Al Bilad,بنك البلاد,POINT (46.6769542 24.6938708),حي العليا,Koppa,بنك البلاد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة بنك البلاد.
60,restaurant,209.0,4.8,46.7245059,24.6977459,Officers Club,نادي الضباط,POINT (46.7245059 24.6977459),حي الملك عبدالعزيز,Also Avenue,نادي الضباط,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة نادي الضباط.
,restaurant,172.0,4.1,46.658312,24.7437076,King Fahd District,حي الملك فهد,POINT (46.658312 24.7437076),حي النخيل,Chowking,حي الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة حي الملك فهد.
,restaurant,1943.0,4.1,46.6929922,24.6778347,Ministry of Interior,وزارة الداخلية,POINT (46.6929922 24.6778347),حي المؤتمرات,The CANTEEN Indian Restaurant and Cafe,وزارة الداخلية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة وزارة الداخلية.
,restaurant,1.0,4.0,46.7386417,24.5937849,Transportation Center,مركز النقل العام,POINT (46.7386417 24.5937849),حي المنصورة,mdhridoyhassan,مركز النقل العام,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مركز النقل العام.
সোহা রেস্টুরেন্ট,restaurant,3.0,3.7,46.7857368,24.7739775,Al Hamra,الحمراء,POINT (46.7857368 24.7739775),حي اشبيلية,,الحمراء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الحمراء.
,bakery,1265.0,4.2,46.6822616,24.7163056,Al Urubah,العروبة,POINT (46.6822616 24.7163056),حي الجزيرة,Tim Hortons,العروبة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العروبة.
,restaurant,18.0,3.6,46.7190756,24.6708636,Ministry of Defence,وزارة الدفاع,POINT (46.7190756 24.6708636),حي الوزارات,Brasserie on Four,وزارة الدفاع,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة وزارة الدفاع.
مطعم مضغوط تهامة فرع النسيم الغربي,restaurant,2431.0,4.1,46.8197845,24.7266179,As Salam,السلام,POINT (46.8197845 24.7266179),حي النسيم الغربي,,السلام,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة السلام.
,restaurant,2284.0,3.9,46.7239975,24.6868509,GOSI,التأمينات الاجتماعية,POINT (46.7239975 24.6868509),حي الضباط,Hardee's,,
,restaurant,4716.0,4.4,46.6787186,24.7334366,Al Wurud,الورود,POINT (46.6787186 24.7334366),حي الورود,Koshary El Tahrir,الورود,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، وأخرج عند محطة الورود.
,restaurant,43.0,4.8,46.708933,24.620673,Courts Complex,مجمع المحاكم,POINT (46.708933 24.620673),منتزه سلام,Burger King Neom Kiosk,مجمع المحاكم,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة مجمع المحاكم.
,bakery,8.0,3.6,46.7126565,24.6973308,Officers Club,نادي الضباط,POINT (46.7126565 24.6973308),حي الملك عبدالعزيز,Fol and tamis restaurant,نادي الضباط,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة نادي الضباط.
مطعم وردة لتقديم الوجبات,restaurant,13.0,5.0,46.7988612,24.779352,Al Khaleej,الخليج,POINT (46.7988612 24.779352),حي اشبيلية,Wardah Restaurant for Arabic and asian foods,الخليج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة الخليج.
فوال النخيل,restaurant,47.0,4.2,46.7772719,24.785247,Al Hamra,الحمراء,POINT (46.7772719 24.785247),حي اشبيلية,,الحمراء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الحمراء.
فول وفلافل مصرية,restaurant,14.0,3.7,46.7362777,24.5930832,Al Iman Hospital,مستشفى الايمان,POINT (46.7362777 24.5930832),حي منفوحة,,,
.مناقيش. صاج .فخار.بيتزا ) حي اشبيليا,restaurant,451.0,4.0,46.787781,24.7797848,Al Khaleej,الخليج,POINT (46.787781 24.7797848),حي اشبيلية,Alkhafeef,الخليج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة الخليج.
مطاعم ليالي الرياض,restaurant,19.0,3.6,46.7494828,24.597809,Transportation Center,مركز النقل العام,POINT (46.7494828 24.597809),حي المنصورة,,مركز النقل العام,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مركز النقل العام.
كافتيريا خفيفه,meal_takeaway,57.0,4.1,46.6130024,24.5784017,Western Station,الغربية,POINT (46.6130024 24.5784017),حي العريجاء الغربي,,,
,restaurant,385.0,4.4,46.7227003,24.7501379,Riyadh Exhibition Center,مركز الرياض للمعارض,POINT (46.7227003 24.7501379),حي صلاح الدين,soma sushi bar,مركز الرياض للمعارض,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة مركز الرياض للمعارض.
ليتس بيتزا الورود,restaurant,319.0,3.7,46.6801663,24.7203663,Al Wurud 2,الورود 2,POINT (46.6801663 24.7203663),حي الجزيرة,Lets Pizza Al Woroud,الورود 2,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة الورود 2.
دوار القص,restaurant,10.0,5.0,46.7068635,24.6473229,National Museum,المتحف الوطني,POINT (46.7068635 24.6473229),حي الوشام,,المتحف الوطني,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المتحف الوطني.
مطعم,restaurant,10.0,3.3,46.725467,24.6402025,Al Margab,المرقب,POINT (46.725467 24.6402025),حي ثليم,,المرقب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة المرقب.
,meal_delivery,811.0,3.8,46.8159105,24.7247971,As Salam,السلام,POINT (46.8159105 24.7247971),حي النسيم الغربي,Maestro Pizza,السلام,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة السلام.
اسماك طوائف البحار,restaurant,171.0,4.0,46.8093498,24.7409797,Khurais Road,طريق خريص,POINT (46.8093498 24.7409797),حي المنار,,طريق خريص,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة طريق خريص.
,restaurant,95.0,4.0,46.6934125,24.6145248,Al Jarradiyah,الجرادية,POINT (46.6934125 24.6145248),حي الجرادية,Pristed,الجرادية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة الجرادية.
,restaurant,274.0,3.7,46.698829,24.7971886,Uthman Bin Affan Rd.,طريق عثمان بن عفان,POINT (46.698829 24.7971886),حي الفلاح,JURY rokn SHAWARMA Juice,طريق عثمان بن عفان,اركب المترو من المحطة الحالية، وأخرج عند محطة عثمان بن عفان.
مطعم شرعب للاكلات الشعبية,restaurant,31.0,4.2,46.6987623,24.6193796,Al Jarradiyah,الجرادية,POINT (46.6987623 24.6193796),حي الشميسي,,الجرادية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة الجرادية.
,restaurant,73.0,2.8,46.7747586,24.6858624,Al Rajhi Grand Mosque,جامع الراجحي,POINT (46.7747586 24.6858624),حي الربوة,Herfy,جامع الراجحي,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة جامع الراجحي.
فوال أرياف الطائف,restaurant,573.0,4.2,46.6451382,24.6016705,Aishah bint Abi Bakr st.,شارع عائشة بنت ابي بكر,POINT (46.6451382 24.6016705),حي البديعة,,,
تازة,bakery,252.0,4.1,46.6581875,24.7948125,Ar Rabi,الربيع,POINT (46.6581875 24.7948125),حي الربيع,Tazzah,الربيع,اركب المترو من المحطة الحالية، وأخرج عند محطة الربيع.
مطعم البخاري پاکستاني,restaurant,75.0,4.3,46.7349485,24.6380389,As Salhiyah,الصالحية,POINT (46.7349485 24.6380389),حي الصناعية,,الصالحية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة الصالحية.
بوفية الشهري للكبدة,restaurant,80.0,3.8,46.7221875,24.6693125,Ministry of Defence,وزارة الدفاع,POINT (46.7221875 24.6693125),حي الملز,,وزارة الدفاع,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة وزارة الدفاع.
,restaurant,8.0,4.3,46.6854743,24.6869139,King Fahd Library,مكتبة الملك فهد,POINT (46.6854743 24.6869139),حي العليا,LA CROISETTE,مكتبة الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مكتبة الملك فهد.
,cafe,827.0,4.2,46.66365,24.754773,Al Murooj,المروج,POINT (46.66365 24.754773),حي النخيل,The Coffee Address,المروج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المروج.
مطعم الواحة - هوليداي إن الميدان,restaurant,7.0,4.4,46.6916858,24.6782218,Ministry of Interior,وزارة الداخلية,POINT (46.6916858 24.6782218),حي المؤتمرات,Oasis Restaurant Holiday Inn Riyadh Meydan,وزارة الداخلية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة وزارة الداخلية.
,meal_takeaway,1044.0,4.0,46.7607612,24.7650842,Khalid Bin Alwaleed Road,طريق خالد بن الوليد,POINT (46.7607612 24.7650842),حي القدس,Maestro Pizza,طريق خالد بن الوليد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة طريق خالد بن الوليد.
,restaurant,2.0,4.5,46.7380605,24.5936181,Transportation Center,مركز النقل العام,POINT (46.7380605 24.5936181),حي المنصورة,Welcome restaurant,مركز النقل العام,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مركز النقل العام.
,restaurant,3669.0,3.5,46.795266,24.68655,Harun Ar Rashid Road,طريق هارون الرشيد,POINT (46.795266 24.68655),حي الروابي,McDonald's,طريق هارون الرشيد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة طريق هارون الرشيد.
وقت الفول و الفلافل,restaurant,290.0,3.9,46.7253558,24.6614744,King Abdulaziz Hospital,مستشفى الملك عبدالعزيز,POINT (46.7253558 24.6614744),حي الملز,,مستشفى الملك عبدالعزيز,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة مستشفى الملك عبدالعزيز.
,store,151.0,3.8,46.7557008,24.7672925,Khalid Bin Alwaleed Road,طريق خالد بن الوليد,POINT (46.7557008 24.7672925),حي القدس,Khafif,طريق خالد بن الوليد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة طريق خالد بن الوليد.
,meal_takeaway,2438.0,4.0,46.6338494,24.7133267,King Salman Oasis,واحة الملك سلمان,POINT (46.6338494 24.7133267),حي الرائد,Shawarmer,واحة الملك سلمان,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، وأخرج عند محطة واحة الملك سلمان.
باستا ديليزيا,restaurant,56.0,2.4,46.6789755,24.7425525,King Abdulaziz Road,طريق الملك عبدالعزيز,POINT (46.6789755 24.7425525),حي الورود,,طريق الملك عبدالعزيز,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، وأخرج عند محطة طريق الملك عبدالعزيز.
,restaurant,124.0,4.5,46.7086714,24.6783081,Al Wizarat,الوزارات,POINT (46.7086714 24.6783081),حي الوزارات,Delicious Bar B Q Point,الوزارات,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة الوزارات
,restaurant,10.0,4.4,46.7409391,24.6655068,Al Malaz,الملز,POINT (46.7409391 24.6655068),حي الملز,Alibaba Domain Fish Restaurant,الملز,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة الملز.
كاريبو كوفي,cafe,1645.0,4.2,46.660396,24.745109,King Fahd District,حي الملك فهد,POINT (46.660396 24.745109),حي النخيل,Caribou Coffee,حي الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة حي الملك فهد.
